task,method,overhead,std
ac_bert,monkey-patch,147.41103642046463,15.165806846673354
ac_bert,selective,1.0768219248336548,0.14609391018703652
ac_bert,systrace,3237.54142676734,969.7245508748853
dcgan,monkey-patch,17.138947095534718,6.074520843751768
dcgan,selective,0.9864613922985829,0.035356467694410275
dcgan,systrace,159.4088155600056,117.43379307545399
gat,monkey-patch,2.3210230802961767,0.06213464175207522
gat,selective,0.992379074704468,0.003803039978898286
gat,systrace,7.057757262796564,0.3432182810518945
gcn,monkey-patch,31.196700207038084,4.920551881374142
gcn,selective,1.1249953115819402,0.13736245740583347
gcn,systrace,93.10126323861523,15.132252159645143
mnist,monkey-patch,118.25879922323169,20.280146593815587
mnist,selective,1.2207954424972018,0.46374507569021367
mnist,systrace,988.4789905543283,190.91771139704525
resnet18,monkey-patch,5.258430452802299,1.2492710506182472
resnet18,selective,1.0022463567444486,0.14350662370578726
resnet18,systrace,52.284118045036855,21.845472788168667
siamese,monkey-patch,94.57075724356416,45.60993643508251
siamese,selective,1.018557093631512,0.20145297199585574
siamese,systrace,1123.61333004175,463.6454630431648
tf_img_cls,monkey-patch,129.84055616143945,36.70867406789818
tf_img_cls,selective,1.1388481954222163,0.28172384845380505
tf_img_cls,systrace,1714.5663196204034,1167.7466917552517
tf_sum,monkey-patch,5.567974677210761,0.46591331050876145
tf_sum,selective,1.006687730339623,0.10469923051772653
tf_sum,systrace,131.05145799791185,21.21556653706979
vae,monkey-patch,51.121429912145814,26.495551588969644
vae,selective,1.361741389144723,0.2521391435429151
vae,systrace,476.51589757051534,248.9810875585524
