task,method,overhead,std
ac_bert,monkey-patch,147.4666196948965,13.507567570139027
ac_bert,selective,1.2668798974316444,0.07953321589401247
ac_bert,systrace,3217.178097880356,976.5405522601972
dcgan,monkey-patch,12.4692428342811,8.420889570573205
dcgan,selective,1.0165550506888468,0.044653380799455245
dcgan,systrace,165.3726096121985,121.76397673732674
gat,monkey-patch,2.354895496109774,0.06721248223089908
gat,selective,0.9912929782893656,0.004212261802831358
gat,systrace,7.0492661207276095,0.3408231612285564
gcn,monkey-patch,31.494810792707366,4.61960817664935
gcn,selective,1.4358198697293867,0.1589212285389864
gcn,systrace,92.7502649405017,13.713924170700816
mnist,monkey-patch,120.59559263719458,18.70609264947858
mnist,selective,1.8357266175436486,0.28111488321780853
mnist,systrace,980.0663226464472,178.83104887102823
resnet18,monkey-patch,5.004879424768526,1.2039738934836557
resnet18,selective,0.9447587875828481,0.13381492329494346
resnet18,systrace,48.33814580819799,19.728785242006705
siamese,monkey-patch,98.74706182583733,30.54127183724667
siamese,selective,0.9806701083395547,0.08825194773490579
siamese,systrace,944.6987142250332,281.6453067158492
tf_img_cls,monkey-patch,132.0255483080054,31.676854528479495
tf_img_cls,selective,1.2900680469610035,0.26190168580362266
tf_img_cls,systrace,1857.1547543647648,1288.1327736987564
tf_sum,monkey-patch,5.541574653750574,0.4067351621799934
tf_sum,selective,1.0094944491422226,0.10368370718861579
tf_sum,systrace,139.20564713513014,25.01302364547621
vae,monkey-patch,51.3130799844162,28.6850545242571
vae,selective,1.131943048340772,0.15800151023718098
vae,systrace,476.1209120259382,270.69371169067637
